ID,Nr_NHP,Included_alignment,ID_DEPAVE,ID_SINAN,ID_Sigh,ID_Sigh_virology,ID_Pool_Mosquitoes,LOCATION,ZONE_PEAL,ADDRESS,Location,Latitude,Longitude,Time,Date_death,Date_of_identification_or_collection,Date_notification,Stage_decomposition,FINAL_YFV_Result,IHQ_YFV_Result,PCR_YFV_Result,RT_PCR_Ct,Collection,Transport_institute,Collected_by,Popular_name,Species,Number_individuals,Sex,Age_class,Photo_record,Height,Technique,Notes,Notes_2,Necropsy_material_collection_by,Cause_of_death,TCE,Main_pathological_alterations,IHQ_Report,PCR_Report,Rabies_Report,Final_Report,STATUS,MULTIPLEX_PCR_SEQUENCING,MULTIPLEX_PCR_BARCODE_NUMBER,MULTIPLEX_PCR_LIBRARY_NAME,MULTIPLEX_PCR_Nb of reads mapped,Average depth coverage,MULTIPLEX_PCR_Bases covered >10x,MULTIPLEX_PCR_Bases covered >25x,MULTIPLEX_PCR_Reference covered (%),SMART_9N_SEQUENCING,Lab_number,Qubit ,SMART_9N_BARCODE_NUMBER,SMART_9N_LIBRARY_NAME,SMART_9N_Nb of reads ,N50,SMART_9N_Nb of reads mapped,SMART_9N_% of reads mapped,SMART_9N_Average depth coverage,Identity,SMART_9N_Bases covered >10x,SMART_9N_Bases covered >20x,SMART_9N_Reference covered_10 (%),SMART_9N_Reference covered_20 (%),KRAKEN2_DISCOVERY,Reference_genome
28,2789,,74419,5734930,2196782D,01/34415,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Casa 04,"-23,4598158","-46,6361394",10:23,23/12/2017,23/10/2017 ou 24/12/2017,24/10/2017 ou 24/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,missing,Não,PAMB-DEPAVE,José Carlos,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,Não,N/A,N/A,,,M.V. Eric Thal Brambila C. da Silva,"Infecciosa, agente viral, febre amarela",-,"Fígado de coloração heterogênea, icterícia, palidez renal, ascite",sim,sim,,sim,Sequenced,Sequenced,BC22,YFV_Lib02Rep_20220516,49506,1744.29,10230,9962,85.9011,Sequenced,N/A,"2,46",BC15/BC16/BC19,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"142,280",400,689,0.484256396,27.829,95.1,7857,4322,72.3547288,39.80108666,-,JF912190.1
29,,,74427,5734931,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Vila Amélia_Parada Pinto,"-23,4598158","-46,6361394",09:18,25/12/2017,25/12/2017 ou 26/12/2017,26/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,,Não,PAMB-DEPAVE,Rafael Pereira Vig,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,-,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",X,"Hepatopatia, nefropatia, lesões traumáticas em crânio",sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,74429,5734931,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Vila Amélia_Parada Pinto,"-23,4598158","-46,6361394",09:31,21/12/2017,25/12/2017 ou 26/12/2017,26/12/2017,Avançado (+5 a 10 dias),NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,,Não,Não,Rafael Pereira Vig,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,N,N/A,N/A,Apenas Notificado. Estágio avançado,,NÃO TEVE COLETA,NÃO INFORMADO,,NÃO INFORMADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,74432,5734931,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Vila Amélia_Parada Pinto,"-23,4598158","-46,6361394",13:07,21/12/2017,25/12/2017 ou 26/12/2017,26/12/2017,Avançado (+5 a 10 dias),NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,,Não,Não,Rafael Pereira Vig,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,N,N/A,N/A,Apenas Notificado. Estágio avançado,,NÃO TEVE COLETA,NÃO INFORMADO,,NÃO INFORMADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,74443,5734931,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",P10_Comando Pamb,"-23,4598158","-46,6361394",09:12,21/12/2017,26/12/2017,26/12/2017,Avançado (+5 a 10 dias),NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,,Não,Não,José Carlos,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,N,N/A,N/A,Apenas Notificado. Estágio avançado. Enterrado.,,NÃO TEVE COLETA,NÃO INFORMADO,,NÃO INFORMADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,74452,5734931,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Viveiro,"-23,4598158","-46,6361394",09:20,23/12/2017,26/12/2017,26/12/2017,Médio,POSITIVO,Positivo,Positivo,,Não,Não,Juliana França,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,"Estágio médio p Avançado, mas coletou!",,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,Autólise avançada,sim,sim,não enviado - ok,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2754,,74453,5734931,2196785A,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Vila Amélia_Parada Pinto,"-23,4598158","-46,6361394",11:25,23/12/2017,26/12/2017,26/12/2017,Médio,POSITIVO,Positivo,Positivo,"16,78",Não,Não,José Carlos,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,Médio Avançado mas coletou,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,Autólise avançada,sim,sim,não enviado - ok,sim,Sequenced,Sequenced,BC29,YFV_Lib02Rep_20220516,281508,4633.17,10231,10230,87.9823,Sequenced,42,"47,8",BC19,YFV_metagenomics_1,106855,512,10762,10.07,414.418,94.8,10849,10849,99.899,99.899,Hepatovirus A,JF912190.1
35,,,74454,5734931,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Viveiro,"-23,4598158","-46,6361394",11:00,23/12/2017,26/12/2017,26/12/2017,Médio-Avançado,POSITIVO,Positivo,Positivo,,Não,Não,Mauricio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,Médio Avançado mas coletou,,M.V. Eric Thal Brambila C. da Silva,"Infecciosa, agente viral, febre amarela",-,"Autólise avançada, Hepatopatia, ascite, hidropericárdio",sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,74455,5734931,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Viveiro,"-23,4598158","-46,6361394",11:00,23/12/2017,26/12/2017,26/12/2017,Médio-Avançado,POSITIVO,Positivo,Positivo,,Não,PAMB-DEPAVE,Hélia Maria,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,Médio Avançado mas coletou,,M.V. Eric Thal Brambila C. da Silva,"Infecciosa, agente viral, febre amarela",-,Autólise avançada,sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,74456,5734931,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Portão Principal (P04),"-23,4598158","-46,6361394",11:03,26/12/2017,26/12/2017,26/12/2017,Vivo,POSITIVO,Positivo,Positivo,,Sim,PAMB-DEPAVE,Hélia Maria,Bugio-ruivo,Alouatta guariba clamitans,N/A,Filhote,Filhote,ok,N/A,N/A,Fraco,,,"Eutanásia, Infecciosa, agente viral, febre amarela",-,,sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2878,,74510,5734933,2196823F,01/34452,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",09:10,24/12/2017,27/12/2017,27/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,,Sim,PAMB-DEPAVE,"Hélia Maria, Dilmar",Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Sub adulto,ok,N/A,N/A,,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,Autólise avançada,sim,sim,não enviado - ok,sim,Sequenced,,,,,,,,,Sequenced,N/A,"9,28",BC16/BC17,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"187,064",402,394,0.211,15.977,94.9,4010,"2,806",36.928,25.840,-,JF912190.1
39,2877,,74512,5734933,2196824E,01/34453,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",09:23,22/10/2017,27/12/2017,27/12/2017,Médio-Avançado,POSITIVO,Positivo,Positivo,,Não,Não,"Hélia Maria, Dilmar",Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Jovem,ok,N/A,N/A,Grupo todo Vl Amália afetado. Muitos em estado avançado de decomposição.,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,Autólise Avançada,sim,sim,não enviado - ok,sim,Sequenced,,,,,,,,,Sequenced,N/A,"7,94",BC17/BC18/BC20,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"203,729",407,6566,3.222908864,327.723,95,10848,10816,99.89870154,99.6040151,-,JF912190.1
40,2876,,74513,5734933,2196825D,01/34454,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",09:26,24/12/2017,27/12/2017,27/12/2017,Médio,POSITIVO,Positivo,Positivo,missing,Não,Não,"Hélia Maria, Dilmar",Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,Coletou!,,M. V. Thais Sanches,"Infecciosa, agente viral, febre amarela",-,Autólise Avançada,sim,sim,não enviado - ok,sim,Sequenced,,,,,,,,,Sequenced,N/A,"7,48",BC18/BC19/BC21,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"774,456",397,"10,175",1.314,532.566,94.4,10848,10848,99.899,99.899,-,JF912190.1
41,,,74514,5734933,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",09:45,21/12/2017,27/12/2017,27/12/2017,Avançado,NÃO DETERMINADO,Não tem ou Positivo,Não tem ou Positivo,,Não,Não,"Hélia Maria, Dilmar",Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Adulto,ok,N/A,N/A,Enterrado. Decomposição muito avançada,,NÃO,NÃO,-,NÃO,sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,74518,5734933,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",09:59,24/12/2017,27/12/2017,27/12/2017,Médio,NÃO DETERMINADO,Não tem,Não tem,,Sim,PAMB-DEPAVE,"José Carlos, Rafael",Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,-,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,NÃO,Não,,,,,Vila Amália,,Entre Parada Pinto e Vila Amélia,,,10:09,21/12/2017,27/12/2017,NÃO NOTIFICADO,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Rafael Pereira,#N/A,Alouatta guariba clamitans,N/A,Macho,Adulto (alfa),ok,N/A,N/A,Enterrado. Decomposição muito avançada. Sem notificação.,,NÃO,NÃO,#N/A,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,74519,5734933,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",10:37,21/12/2017,27/12/2017,27/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Rafael Pereira,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,Enterrado. Decomposição muito avançada,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,74514,5734933,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",10:44,25/12/2017,27/12/2017,27/12/2017,íntegro,POSITIVO,Positivo,Positivo,,Sim,PAMB-DEPAVE,Rafael Pereira,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,Médio Avançado mas coletou,,M.V. Eric Thal Brambila C. da Silva,"Infecciosa, agente viral, febre amarela",-,Autólise avançada,sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,74520,5734933,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",11:41,21/12/2017,27/12/2017,27/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Dilmar,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,Único notificado deste lote estágio avançado. Vig RAFAEL.,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,74521,5734933,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",12:05,22/12/2017,27/12/2017,27/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Dilmar,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto (alfa),ok,N/A,N/A,Notificou!,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,74609,5734936,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",08:58,22/12/2017,28/12/2017,28/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Camila Matias,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,There_was_no_collection! Apenas notificação!,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,74610,5734936,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Entre Parada Pinto e Vila Amélia,"-23,4598158","-46,6361394",09:01,22/12/2017,28/12/2017,28/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Camila Matias,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,There_was_no_collection! Apenas notificação!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,74631,5734926,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Guarita de lata/bica,"-23,4598158","-46,6361394",18:32,28/12/2017,28/12/2017 ou 29/12/2017,29/12/2017,Íntegro,POSITIVO,Positivo,Positivo,,Sim,PAMB-DEPAVE,Anderson,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto (alfa),ok,N/A,N/A,-,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",,Hepatopatia e nefropatia,sim,sim,não enviado - ok,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,74405,5734926,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Portão Principal (P04),"-23,4598158","-46,6361394",09:01,24/12/2017,28/12/2017 ou 22/12/2017,29/12/2017 ou 22/12/2017,Avançado,POSITIVO,Positivo,Positivo,,Não,PAMB-DEPAVE,Camila,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,-,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",,Hepato e nefropatia,sim,sim,não enviado - ok,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,74632,5734939,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Viveiro,"-23,4598158","-46,6361394",10:22,29/10/2017,29/12/2017,29/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,,Sim,PAMB-DEPAVE,"Márcio, Paulo",Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Sub adulto,ok,N/A,N/A,Caiu da árvore às 09h:36min,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",,"Hepatopatia, palidez renal acentuada, efusão sanguinolenta abdominal",sim,sim,não enviado - ok,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,74639,5734941,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Talhão de Pinus DD,"-23,4598158","-46,6361394",11:09,24/12/2017,30/12/2017,30/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Paulo. Márcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,Cheiro muito forte. Não deu coleta.,,Não,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,74640,5734941,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",DD Cemas,"-23,4598158","-46,6361394",11:23,24/12/2017,30/12/2017,30/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Paulo. Márcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,Cheiro muito forte. Não deu coleta.,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,74641,5734941,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Grupo Hospedaria_bambuzal_pinheiro do brejo,"-23,4598158","-46,6361394",12:36,24/12/2017,30/12/2017,30/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Paulo. Márcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,Cheiro muito forte. Não deu coleta.,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2866,,74646,5734943,2197181B,01/307,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Grupo Vila Amalia II,"-23,4598158","-46,6361394",07:58,28/12/2017,31/12/2017,31/12/2017,Médio,POSITIVO,Positivo,Positivo,missing,Não,PAMB-DEPAVE,Rafael Vig/Paulo,Bugio-ruivo,Alouatta guariba clamitans,N/A,Femea,Adulta,Não,N/A,N/A,"Deu Coleta, mas cheiro forte.",,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",,Autólise avançada,sim,sim,,sim,Sequenced,,,,,,,,,Sequenced,N/A,114,BC19/BC20,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"36,295",288,107,0.295,2.473,94.6,104,104,0.958,0.958,-,JF912190.1
58,2867,,74647,5734943,2197182A,01/308,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Grupo Vila Amalia II,"-23,4598158","-46,6361394",08:05,28/12/2017,31/12/2017,31/12/2017,Médio,POSITIVO,Positivo,Positivo,missing,Não,PAMB-DEPAVE,Rafael Vig/Paulo,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Filhote,Não,N/A,N/A,"Deu Coleta, mas cheiro forte.",,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",,Autólise avançada,sim,sim,,sim,Sequenced,,,,,,,,,Sequenced,N/A,"3,32",BC20/BC21/BC22,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"447,068",417,4574,1.023110578,184.896,95.1,10687,10568,98.41606041,97.32019523,-,JF912190.1
59,2868,,74649,5734943,2197183K,01/309,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Grupo Vila Amalia II,"-23,4598158","-46,6361394",08:05,28/12/2017 ou 31/12/2017,31/12/2017,31/12/2017,Médio,POSITIVO,Positivo,Positivo,missing,Não,PAMB-DEPAVE,Rafael Vig/Paulo,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,Não,N/A,N/A,"Deu Coleta, mas cheiro forte.",,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",,Autólise avançada,sim,sim,não enviado - ok,sim,Sequenced,,,,,,,,,Sequenced,N/A,"2,88",BC21/BC22/BC23,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"247,208",410,29285,11.84629947,1175.887,95.2,10848,10848,99.89870154,99.89870154,-,JF912190.1
60,,,74650,5734943,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Grupo Vila Amalia II,"-23,4598158","-46,6361394",08:15,24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Rafael Vig/Paulo,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,Não,N/A,N/A,Mesmo Grupo. Não deu coleta. Considerado mesma coordenada para todo Grupo.,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,74651,5734943,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Grupo Vila Amalia II,"-23,4598158","-46,6361394",08:25,24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Rafael Vig/Paulo,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,Não,N/A,N/A,Mesmo Grupo. Não deu coleta. Considerado mesma coordenada para todo Grupo.,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,74652,5734943,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Grupo Vila Amalia II,"-23,4598158","-46,6361394",08:30,24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Rafael Vig/Paulo,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,Não,N/A,N/A,Mesmo Grupo. Não deu coleta. Considerado mesma coordenada para todo Grupo.,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,74653,5734943,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Grupo Vila Amalia II,"-23,4598158","-46,6361394",08:30,24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Rafael Vig/Paulo,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,Não,N/A,N/A,Mesmo Grupo. Não deu coleta. Considerado mesma coordenada para todo Grupo.,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,74654,5734943,,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Grupo Vila Amalia II,"-23,4598158","-46,6361394",08:35,24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Rafael Vig/Paulo,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,Não,N/A,N/A,Mesmo Grupo. Não deu coleta. Considerado mesma coordenada para todo Grupo.,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,74736,5734949,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Portão Cetesb,"-23,4598158","-46,6361394",,28/12/2017,03/01/2018,04/01/2018,Avançado,NÃO DETERMINADO,Não tem,Não tem,,Não,Não,Rafael Vig/Paulo,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,Não,N/A,N/A,Mesmo Grupo. Não deu coleta. Considerado mesma coordenada para todo Grupo.,,NÃO,NÃO,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
